,Open,Low,High,Close,DayOfWeek,Is_Imputed,Daily_Return
2018-08-31,110250.0,109420.0,110420.0,109970.0,Friday,False,-0.003443588581785284
2018-09-01,109960.0,107420.0,112320.0,111890.0,Saturday,False,0.017459307083750097
2018-09-02,112060.0,104000.0,121980.0,119770.0,Sunday,False,0.07042631155599244
2018-09-03,112060.0,104000.0,121980.0,119770.0,Monday,True,0.0
2018-09-04,128230.0,127760.0,139610.0,136840.0,Tuesday,False,0.142523169408032
2018-09-05,137140.0,136400.0,150670.0,136890.0,Wednesday,False,0.00036539023677284455
2018-09-06,136430.0,134680.0,144700.0,135110.0,Thursday,False,-0.013003141208269398
2018-09-07,136430.0,134680.0,144700.0,135110.0,Friday,True,0.0
2018-09-08,135260.0,128930.0,137060.0,134470.0,Saturday,False,-0.004736881059877129
2018-09-09,128710.0,120970.0,130320.0,129630.0,Sunday,False,-0.03599315832527705
2018-09-10,129940.0,129550.0,138980.0,138160.0,Monday,False,0.06580266913523114
2018-09-11,138190.0,135190.0,146060.0,135330.0,Tuesday,False,-0.020483497394325423
2018-09-12,135370.0,134170.0,138980.0,137160.0,Wednesday,False,0.01352250055420079
2018-11-15,119000.0,118400.0,119000.0,118400.0,Thursday,False,-0.136774569845436
2018-11-16,119000.0,118400.0,119000.0,118400.0,Friday,True,0.0
2018-11-17,118150.0,118150.0,118200.0,118200.0,Saturday,False,-0.0016891891891891442
2018-11-18,120870.0,120870.0,120870.0,120870.0,Sunday,False,0.022588832487309585
2018-11-19,127220.0,127220.0,127220.0,127220.0,Monday,False,0.052535782245387574
2018-11-20,128400.0,128400.0,128400.0,128400.0,Tuesday,False,0.009275271183776246
2018-11-21,127910.0,127910.0,127910.0,127910.0,Wednesday,False,-0.0038161993769469937
2018-11-22,127710.0,127710.0,127710.0,127710.0,Thursday,False,-0.0015635994058321723
2018-11-23,127710.0,127710.0,127710.0,127710.0,Friday,True,0.0
2018-11-24,127250.0,127250.0,127250.0,127250.0,Saturday,False,-0.0036019105786547767
2018-11-25,127250.0,127250.0,127250.0,127250.0,Sunday,True,0.0
2018-11-26,123350.0,123350.0,123350.0,123350.0,Monday,False,-0.030648330058939077
2018-11-27,123030.0,123030.0,123030.0,123030.0,Tuesday,False,-0.002594244021078218
2018-11-28,121150.0,121150.0,121150.0,121150.0,Wednesday,False,-0.015280825814841914
2018-11-29,112680.0,112450.0,112680.0,112450.0,Thursday,False,-0.07181180354931904
2018-11-30,112680.0,112450.0,112680.0,112450.0,Friday,True,0.0
2018-12-01,112750.0,107620.0,115540.0,113580.0,Saturday,False,0.01004891062694524
2018-12-02,113570.0,113570.0,121100.0,121100.0,Sunday,False,0.0662088395844338
2018-12-03,120240.0,113660.0,120290.0,114300.0,Monday,False,-0.056151940545004164
2018-12-04,114030.0,111710.0,114800.0,113670.0,Tuesday,False,-0.005511811023622082
2018-12-05,113900.0,112690.0,114010.0,113520.0,Wednesday,False,-0.0013196093956189259
2018-12-06,113640.0,109790.0,116480.0,113030.0,Thursday,False,-0.00431642001409438
2018-12-07,113640.0,109790.0,116480.0,113030.0,Friday,True,0.0
2018-12-08,112410.0,112340.0,116940.0,115170.0,Saturday,False,0.018933026630098215
2018-12-09,114870.0,112110.0,114870.0,112410.0,Sunday,False,-0.023964574107840586
2018-12-10,112500.0,107360.0,112540.0,107900.0,Monday,False,-0.04012098567743083
2018-12-11,107840.0,107640.0,108230.0,108190.0,Tuesday,False,0.0026876737720111787
2018-12-12,108230.0,86900.0,109940.0,97100.0,Wednesday,False,-0.10250485257417508
2018-12-13,97900.0,97900.0,101500.0,101300.0,Thursday,False,0.04325437693099898
2018-12-14,97900.0,97900.0,101500.0,101300.0,Friday,True,0.0
2018-12-15,101250.0,101250.0,101850.0,101350.0,Saturday,False,0.000493583415597243
2018-12-16,99900.0,97050.0,99950.0,99500.0,Sunday,False,-0.018253576714356234
2018-12-17,99900.0,99400.0,99900.0,99400.0,Monday,False,-0.0010050251256281673
2018-12-18,99400.0,99400.0,99400.0,99400.0,Tuesday,False,0.0
2018-12-19,101000.0,99900.0,101000.0,99900.0,Wednesday,False,0.005030181086519203
2018-12-20,99800.0,99700.0,99890.0,99700.0,Thursday,False,-0.002002002002001957
2018-12-21,99800.0,99700.0,99890.0,99700.0,Friday,True,0.0
2018-12-22,99900.0,99900.0,99900.0,99900.0,Saturday,False,0.0020060180541625616
2018-12-23,99900.0,99900.0,99900.0,99900.0,Sunday,True,0.0
2018-12-24,101000.0,101000.0,101000.0,101000.0,Monday,False,0.011011011011011096
2018-12-25,103950.0,103950.0,105000.0,105000.0,Tuesday,False,0.03960396039603964
2018-12-26,109000.0,109000.0,118000.0,112000.0,Wednesday,False,0.06666666666666665
2018-12-27,111900.0,107500.0,111900.0,107500.0,Thursday,False,-0.0401785714285714
2018-12-28,111900.0,107500.0,111900.0,107500.0,Friday,True,0.0
2018-12-29,105000.0,102800.0,105000.0,103000.0,Saturday,False,-0.041860465116279055
2018-12-30,106000.0,105500.0,108000.0,107000.0,Sunday,False,0.03883495145631066
2018-12-31,108000.0,107900.0,108000.0,108000.0,Monday,False,0.009345794392523255
2019-01-01,107000.0,105000.0,107000.0,105000.0,Tuesday,False,-0.02777777777777779
2019-01-02,104900.0,104200.0,105000.0,104500.0,Wednesday,False,-0.004761904761904745
2019-01-03,106000.0,105800.0,106000.0,106000.0,Thursday,False,0.014354066985645897
2019-01-04,106000.0,105800.0,106000.0,106000.0,Friday,True,0.0
2019-01-05,105950.0,105500.0,106000.0,105900.0,Saturday,False,-0.0009433962264151496
2019-01-06,105450.0,104900.0,105600.0,105500.0,Sunday,False,-0.0037771482530689626
2019-01-07,107000.0,106900.0,107100.0,107000.0,Monday,False,0.014218009478673022
2019-01-08,109000.0,108700.0,109000.0,109000.0,Tuesday,False,0.01869158878504673
2019-01-09,108800.0,108600.0,109050.0,108800.0,Wednesday,False,-0.0018348623853210455
2019-01-10,108900.0,108850.0,108900.0,108900.0,Thursday,False,0.0009191176470588758
2019-01-11,108900.0,108850.0,108900.0,108900.0,Friday,True,0.0
2019-01-12,111000.0,110850.0,113500.0,113000.0,Saturday,False,0.037649219467401185
2019-01-13,116000.0,114000.0,118000.0,114000.0,Sunday,False,0.008849557522123908
2019-01-14,116000.0,114000.0,118000.0,114000.0,Monday,True,0.0
2019-01-15,112500.0,112300.0,112650.0,112500.0,Tuesday,False,-0.013157894736842146
